00-03-7F   (base 16)	Atheros_Communications,_Inc.
00-0C-E7   (base 16)	MERCURY_CORPORATION
00-13-D4   (base 16)	AzureWave_Technology_Inc.
00-15-AF   (base 16)	D-Link_Corporation
00-17-C9   (base 16)	BUFFALO.INC
00-19-66   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
00-1A-11   (base 16)	Google,_Inc.
00-1B-63   (base 16)	Apple,_Inc.
00-1C-B3   (base 16)	Apple,_Inc.
00-1D-0F   (base 16)	Apple,_Inc.
00-1E-52   (base 16)	Apple,_Inc.
00-1F-5B   (base 16)	Apple,_Inc.
00-1F-F3   (base 16)	Apple,_Inc.
00-21-E9   (base 16)	Apple,_Inc.
00-22-41   (base 16)	Apple,_Inc.
00-23-12   (base 16)	Apple,_Inc.
00-23-32   (base 16)	Apple,_Inc.
00-23-6C   (base 16)	Apple,_Inc.
00-23-DF   (base 16)	Apple,_Inc.
00-24-36   (base 16)	Apple,_Inc.
00-25-00   (base 16)	Apple,_Inc.
00-25-4B   (base 16)	Apple,_Inc.
00-25-BC   (base 16)	Apple,_Inc.
00-26-08   (base 16)	Apple,_Inc.
00-26-4A   (base 16)	Apple,_Inc.
00-26-B0   (base 16)	Apple,_Inc.
00-26-BB   (base 16)	Apple,_Inc.
00-30-65   (base 16)	Apple,_Inc.
00-3E-E1   (base 16)	Apple,_Inc.
00-50-E4   (base 16)	Apple,_Inc.
00-61-71   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
04-DA-D2   (base 16)	Google,_Inc.
08-00-07   (base 16)	Apple_Computer,_Inc.
08-00-20   (base 16)	Apple_Computer,_Inc.
08-5B-0E   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
08-86-3B   (base 16)	Apple,_Inc.
08-F6-9C   (base 16)	Apple,_Inc.
0C-1D-AF   (base 16)	Apple,_Inc.
0C-3E-9F   (base 16)	Apple,_Inc.
0C-4D-E9   (base 16)	Apple,_Inc.
0C-74-C2   (base 16)	Apple,_Inc.
0C-77-1A   (base 16)	Apple,_Inc.
10-9A-DD   (base 16)	Apple,_Inc.
10-DD-B1   (base 16)	Apple,_Inc.
14-10-9F   (base 16)	Apple,_Inc.
14-8F-C6   (base 16)	Apple,_Inc.
14-BD-61   (base 16)	Apple,_Inc.
18-20-32   (base 16)	Apple,_Inc.
18-34-51   (base 16)	Apple,_Inc.
18-65-90   (base 16)	Apple,_Inc.
18-AF-61   (base 16)	Apple,_Inc.
18-E7-F4   (base 16)	Apple,_Inc.
1C-1A-C0   (base 16)	Apple,_Inc.
1C-36-BB   (base 16)	Apple,_Inc.
1C-AB-A7   (base 16)	Apple,_Inc.
1C-E6-2B   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
20-3C-AE   (base 16)	Apple,_Inc.
20-76-8F   (base 16)	Cisco_Systems,_Inc
20-A2-E4   (base 16)	Apple,_Inc.
20-AB-37   (base 16)	Apple,_Inc.
20-C9-D0   (base 16)	Apple,_Inc.
24-1E-EB   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
24-A0-74   (base 16)	Apple,_Inc.
24-A2-E1   (base 16)	Apple,_Inc.
24-AB-81   (base 16)	Apple,_Inc.
28-37-37   (base 16)	Apple,_Inc.
28-6A-B8   (base 16)	Apple,_Inc.
28-6A-BA   (base 16)	Apple,_Inc.
28-A0-2B   (base 16)	Apple,_Inc.
28-CF-DA   (base 16)	Apple,_Inc.
